sku,codigo_ean,produto,categoria,quantidade_disponivel,quantidade_reservada,estoque_minimo,corredor,nivel_prateleira,localizacao,status,fragil,lote,dimensoes_cm,peso_kg,fornecedor,data_entrada,data_ultima_movimentacao,custo_unitario,preco_venda
SKU-2567,7890607136935,Caneta Esferografica Azul (cx 50un),Papelaria,401,4,10,A3,Nivel 2,A3-2,Disponivel,False,L2026767,31.0x44.9x28.2,10.57,Nortex Distribuicao,2026-06-24,2026-07-09,130.03,255.43
SKU-5889,7893244133220,Dicionario Portugues-Ingles,Livros e Papelaria Tecnica,385,41,20,C3,Nivel 2,C3-2,Disponivel,False,L2026556,37.5x13.5x31.7,7.66,Global Trade Comercio Exterior,2026-05-20,2026-05-27,285.7,515.45
SKU-5344,7897592612642,Oleo Lubrificante 1L,Automotivo,135,5,10,C3,Nivel 2,C3-2,Disponivel,False,L2026495,20.5x19.1x4.4,8.57,Fornecedora Horizonte Ltda,2026-01-26,2026-07-22,304.84,467.1
SKU-3379,7891901706688,Calca Moletom,Vestuario,124,56,25,E1,Nivel 3,E1-3,Disponivel,False,L2026053,36.3x15.8x30.8,11.3,Ponto Central Suprimentos,2025-12-24,2026-03-08,278.16,598.1
SKU-5231,7896639056524,Coleira Ajustavel,Pet Shop,170,22,30,B3,Nivel 1 (Solo),B3-1,Disponivel,False,L2026075,7.7x20.0x20.9,3.48,Nortex Distribuicao,2026-05-03,2026-07-03,440.49,650.12
SKU-4429,7896465761050,Kit Blocos de Montar,Brinquedos,416,63,15,D2,Nivel 4 (Alto),D2-4,Disponivel,False,L2026122,25.1x25.3x24.2,4.5,Fornecedora Horizonte Ltda,2025-12-17,2026-05-01,151.8,233.24
SKU-2127,7898038890440,Sanduicheira,Casa e Cozinha,34,3,40,B2,Nivel 1 (Solo),B2-1,Baixo Estoque,True,L2026854,58.7x19.6x29.5,4.66,Metropolitana Atacado,2026-05-05,2026-06-28,34.4,59.7
SKU-4622,7893484171938,Trena a Laser,Ferramentas,451,20,15,A2,Nivel 1 (Solo),A2-1,Disponivel,True,L2026510,24.1x30.5x20.2,3.19,Distribuidora Vega Ltda,2026-03-20,2026-07-05,249.09,346.37
SKU-3313,7895487487054,Bermuda Moletom,Vestuario,194,19,25,F1,Nivel 1 (Solo),F1-1,Disponivel,False,L2026370,44.3x18.3x27.0,0.2,Comercio Atlas S.A.,2025-12-12,2026-04-24,190.83,258.85
SKU-2033,7890755154522,Air Fryer 6L,Casa e Cozinha,29,28,25,D1,Nivel 1 (Solo),D1-1,Disponivel,True,L2026219,55.1x38.9x41.4,9.44,Importadora Bravo,2026-05-23,2026-06-30,63.17,85.51
SKU-2627,7890191765320,Caneta Marca-Texto (kit 4un),Papelaria,435,39,20,B2,Nivel 2,B2-2,Disponivel,False,L2026446,28.0x8.1x13.4,8.68,Comercio Atlas S.A.,2025-12-25,2026-03-20,437.0,789.62
SKU-1734,7895040566950,Cartao de Memoria 128GB,Eletronicos,233,72,40,D2,Nivel 1 (Solo),D2-1,Disponivel,False,L2026537,50.0x41.7x12.7,5.53,Prime Supply Comercio,2026-06-01,2026-07-11,432.29,655.83
SKU-2733,7890705570525,Marcador de Texto (kit 6un),Papelaria,191,4,30,C3,Nivel 1 (Solo),C3-1,Disponivel,False,L2026872,51.6x19.8x28.9,13.54,Metropolitana Atacado,2025-11-28,2026-01-05,131.06,188.46
SKU-4657,7893606359992,Alicate Universal,Ferramentas,14,11,30,C2,Nivel 1 (Solo),C2-1,Baixo Estoque,True,L2026251,51.3x6.9x23.1,4.66,Comercio Atlas S.A.,2026-06-09,2026-07-14,360.69,788.28
SKU-1180,7899346676658,Carregador de Parede 20W,Eletronicos,199,15,10,D2,Nivel 1 (Solo),D2-1,Disponivel,False,L2026309,10.3x44.9x6.2,8.51,Ponto Central Suprimentos,2026-01-01,2026-01-19,282.75,569.98
SKU-1625,7894707986322,Repetidor de Sinal Wi-Fi,Eletronicos,21,8,10,E1,Nivel 2,E1-2,Reservado,True,L2026642,58.3x40.2x16.4,3.26,Ponto Central Suprimentos,2026-05-23,2026-06-20,400.47,797.13
SKU-5394,7899545717527,Oleo Lubrificante 5L,Automotivo,47,34,25,A3,Nivel 1 (Solo),A3-1,Reservado,False,L2026468,19.1x24.8x8.1,0.32,Nortex Distribuicao,2026-03-23,2026-06-14,421.65,765.7
SKU-4976,7890272575220,Lanterna de Trabalho Recarregavel,Ferramentas,479,22,25,B2,Nivel 2,B2-2,Disponivel,False,L2026099,48.2x29.5x3.5,6.87,Fornecedora Horizonte Ltda,2026-06-13,2026-07-08,425.57,965.3
SKU-5809,7898085997352,Planner Anual,Livros e Papelaria Tecnica,286,66,50,D2,Nivel 2,D2-2,Reservado,False,L2026705,31.7x37.1x25.6,1.0,Prime Supply Comercio,2026-01-14,2026-05-18,308.74,605.91
SKU-2439,7899004158939,Forma de Silicone para Bolo,Casa e Cozinha,110,47,15,C3,Nivel 2,C3-2,Disponivel,True,L2026884,54.1x27.2x14.6,0.41,Prime Supply Comercio,2026-01-12,2026-01-26,318.88,430.87
SKU-5811,7894197975769,Planner Anual,Livros e Papelaria Tecnica,56,9,10,F2,Nivel 1 (Solo),F2-1,Disponivel,True,L2026920,22.9x32.4x26.1,2.04,Comercio Atlas S.A.,2026-06-05,2026-06-24,36.68,75.13
SKU-5850,7890746443994,Livro Infantil Ilustrado,Livros e Papelaria Tecnica,71,1,50,C1,Nivel 1 (Solo),C1-1,Reservado,False,L2026184,50.6x34.8x18.2,8.69,Global Trade Comercio Exterior,2025-12-22,2026-07-11,474.2,761.3
SKU-5241,7891263772734,Guia Retratil,Pet Shop,415,13,10,C3,Nivel 3,C3-3,Disponivel,False,L2026082,52.7x24.6x40.0,9.21,Fornecedora Horizonte Ltda,2026-07-06,2026-07-08,240.19,441.45
SKU-1587,7890805120804,Roteador Wi-Fi Dual Band,Eletronicos,167,49,10,E2,Nivel 3,E2-3,Disponivel,False,L2026894,42.6x12.8x10.7,9.58,Importadora Bravo,2025-12-06,2026-07-11,458.92,701.72
SKU-2184,7893179854900,Jogo de Panelas 5 Pecas,Casa e Cozinha,434,5,50,D1,Nivel 1 (Solo),D1-1,Disponivel,True,L2026516,50.2x21.0x33.1,3.19,Fornecedora Horizonte Ltda,2026-05-12,2026-05-29,324.14,622.77
SKU-3241,7897053209367,Bone Aba Reta,Vestuario,113,80,10,B2,Nivel 3,B2-3,Disponivel,False,L2026673,42.7x25.7x30.4,4.08,Distribuidora Vega Ltda,2025-12-19,2026-04-15,134.23,304.28
SKU-5278,7894287223138,Shampoo para Pets 500ml,Pet Shop,435,35,10,A1,Nivel 1 (Solo),A1-1,Em Conferencia,False,L2026338,42.3x46.2x18.6,11.12,Ponto Central Suprimentos,2026-01-31,2026-05-04,455.08,684.76
SKU-1916,7894122487091,"Panela de Pressao 4,5L",Casa e Cozinha,376,71,40,E1,Nivel 4 (Alto),E1-4,Disponivel,False,L2026190,28.0x47.6x35.7,4.09,Ponto Central Suprimentos,2026-05-09,2026-05-16,197.67,301.28
SKU-3665,7894250882324,Escova de Dente Eletrica,Higiene e Beleza,135,80,50,C1,Nivel 4 (Alto),C1-4,Disponivel,False,L2026256,45.6x34.1x21.6,6.91,Ponto Central Suprimentos,2025-12-07,2026-02-18,347.92,791.78
SKU-1374,7893968527015,Caixa de Som Bluetooth,Eletronicos,251,8,50,A1,Nivel 2,A1-2,Em Conferencia,True,L2026520,38.4x39.2x10.2,1.14,Union Cargo Distribuidora,2025-11-15,2026-04-15,63.77,96.61
SKU-4482,7890848310347,Furadeira Eletrica 500W,Ferramentas,209,76,20,A1,Nivel 2,A1-2,Disponivel,False,L2026793,44.5x12.5x26.2,13.35,Fornecedora Horizonte Ltda,2026-05-02,2026-05-13,450.97,823.87
SKU-3338,7895352151738,Calca Jeans Slim,Vestuario,146,48,40,F1,Nivel 1 (Solo),F1-1,Disponivel,False,L2026767,43.8x39.8x31.4,3.62,Comercio Atlas S.A.,2025-11-15,2025-12-19,457.56,932.31
SKU-5326,7891417222832,Comedouro Duplo Inox,Pet Shop,154,65,10,F1,Nivel 2,F1-2,Em Conferencia,False,L2026650,25.8x25.8x24.2,10.53,Ponto Central Suprimentos,2025-12-28,2026-03-15,72.88,134.65
SKU-4936,7892183160885,Martelo Unha 25mm,Ferramentas,153,46,25,B3,Nivel 1 (Solo),B3-1,Reservado,False,L2026727,36.6x45.5x13.4,1.99,Fornecedora Horizonte Ltda,2026-03-02,2026-04-04,267.2,468.86
SKU-2770,7896364653333,Agenda Executiva,Papelaria,418,56,20,E1,Nivel 1 (Solo),E1-1,Disponivel,False,L2026942,56.8x11.7x36.6,12.5,Metropolitana Atacado,2026-05-16,2026-07-03,457.47,868.41
SKU-3324,7898225885846,Bermuda Moletom,Vestuario,100,15,40,E1,Nivel 3,E1-3,Disponivel,False,L2026200,37.1x18.2x13.0,8.56,Importadora Bravo,2026-01-16,2026-02-04,328.06,537.75
SKU-2002,7893648821594,Air Fryer 4L,Casa e Cozinha,255,31,25,B2,Nivel 1 (Solo),B2-1,Disponivel,True,L2026475,19.6x6.7x18.1,8.48,Prime Supply Comercio,2026-03-30,2026-07-09,479.55,1085.07
SKU-2211,7896668290524,Filtro de Agua de Bancada,Casa e Cozinha,206,43,20,D1,Nivel 2,D1-2,Em Conferencia,True,L2026004,48.4x35.2x29.7,10.23,Prime Supply Comercio,2026-07-09,2026-07-12,309.55,437.83
SKU-3623,7895880732713,Condicionador 400ml,Higiene e Beleza,194,28,20,B2,Nivel 2,B2-2,Disponivel,False,L2026848,30.4x37.7x27.3,7.62,Importadora Bravo,2026-02-27,2026-05-11,210.96,388.96
SKU-2974,7894608736316,Pasta Catalogo 50 Envelopes,Papelaria,288,24,20,C3,Nivel 1 (Solo),C3-1,Disponivel,True,L2026348,40.8x13.7x31.8,0.14,Nortex Distribuicao,2026-05-26,2026-06-01,437.59,907.98
SKU-2372,7894259720559,Tabua de Corte de Bambu,Casa e Cozinha,279,20,20,C3,Nivel 3,C3-3,Reservado,False,L2026482,42.0x46.6x36.2,13.61,Ponto Central Suprimentos,2025-11-20,2026-01-07,264.88,383.25
SKU-4387,7897882584222,Carrinho de Controle Remoto,Brinquedos,262,48,10,E2,Nivel 1 (Solo),E2-1,Disponivel,False,L2026487,29.0x12.7x32.0,11.62,Comercio Atlas S.A.,2026-03-19,2026-03-23,143.43,264.89
SKU-4861,7898696750445,Escada de Aluminio 5 Degraus,Ferramentas,138,80,25,E1,Nivel 1 (Solo),E1-1,Disponivel,False,L2026975,33.5x27.0x38.6,2.24,Union Cargo Distribuidora,2026-03-09,2026-03-23,90.65,126.42
SKU-4050,7895219269361,Desodorante Aerosol,Higiene e Beleza,295,75,10,C2,Nivel 2,C2-2,Disponivel,False,L2026552,19.7x6.0x11.6,6.03,Metropolitana Atacado,2025-12-04,2026-02-21,299.16,507.3
SKU-1554,7896734996015,Webcam Full HD,Eletronicos,327,43,10,B3,Nivel 2,B3-2,Disponivel,True,L2026424,50.2x19.0x33.0,11.55,Importadora Bravo,2025-11-19,2026-05-17,56.85,84.0
SKU-2398,7897525723162,Escorredor de Louca,Casa e Cozinha,382,26,50,A1,Nivel 2,A1-2,Disponivel,False,L2026788,10.5x33.0x36.1,0.82,Union Cargo Distribuidora,2026-01-25,2026-03-23,460.81,842.65
SKU-1024,7899806990164,Cabo USB-C,Eletronicos,443,59,15,B2,Nivel 4 (Alto),B2-4,Disponivel,False,L2026855,57.9x17.0x40.0,1.19,Distribuidora Vega Ltda,2026-04-21,2026-07-01,220.44,368.27
SKU-4930,7899529030697,Martelo Unha 25mm,Ferramentas,215,78,20,B3,Nivel 4 (Alto),B3-4,Disponivel,False,L2026856,63.9x27.8x10.7,5.26,Metropolitana Atacado,2026-04-26,2026-05-07,449.26,739.86
SKU-1034,7891746488770,Cabo HDMI 2m,Eletronicos,306,5,10,E1,Nivel 2,E1-2,Reservado,True,L2026784,45.8x42.0x25.5,9.43,Ponto Central Suprimentos,2026-02-09,2026-05-25,16.31,25.57
SKU-1486,7892770707059,Smartwatch Esportivo,Eletronicos,326,71,25,A1,Nivel 1 (Solo),A1-1,Disponivel,True,L2026266,32.0x16.1x33.5,12.17,Importadora Bravo,2026-05-04,2026-05-11,266.49,601.1
SKU-1578,7892388565270,Webcam Full HD,Eletronicos,45,42,50,B3,Nivel 2,B3-2,Baixo Estoque,True,L2026191,43.7x18.5x21.9,10.6,Nortex Distribuicao,2026-04-23,2026-06-19,52.22,106.31
SKU-2944,7898571036305,Clips Metalico (cx 100un),Papelaria,192,76,20,D2,Nivel 4 (Alto),D2-4,Disponivel,False,L2026173,40.3x31.4x4.9,7.68,Metropolitana Atacado,2025-11-22,2026-06-13,154.41,213.52
SKU-3120,7895832014355,Camiseta Regata,Vestuario,189,49,20,F1,Nivel 2,F1-2,Reservado,False,L2026444,36.4x39.6x40.9,3.33,Ponto Central Suprimentos,2025-12-24,2026-04-18,420.4,813.59
SKU-5827,7896815444442,Planner Anual,Livros e Papelaria Tecnica,179,18,40,D2,Nivel 2,D2-2,Em Conferencia,False,L2026145,29.1x14.8x24.4,4.92,Comercio Atlas S.A.,2026-03-23,2026-04-10,427.98,979.4
SKU-2449,7897762538475,Forma de Silicone para Bolo,Casa e Cozinha,385,49,25,F2,Nivel 3,F2-3,Disponivel,False,L2026127,63.1x26.3x23.0,6.6,Ponto Central Suprimentos,2026-05-25,2026-07-23,49.57,111.1
SKU-4768,7895361432699,Serra Circular Portatil,Ferramentas,312,47,40,F1,Nivel 4 (Alto),F1-4,Disponivel,False,L2026985,23.2x31.3x29.4,3.76,Comercio Atlas S.A.,2026-03-04,2026-03-12,419.59,839.46
SKU-5937,7896594151814,Mesa de Escritorio Compacta,Utilidades para Escritorio,73,21,15,D1,Nivel 1 (Solo),D1-1,Disponivel,False,L2026503,15.6x24.4x34.2,10.78,Fornecedora Horizonte Ltda,2026-02-09,2026-05-02,239.84,337.5
SKU-5721,7896536520531,Livro Best-seller Ficcao,Livros e Papelaria Tecnica,19,7,30,A1,Nivel 3,A1-3,Baixo Estoque,False,L2026216,7.7x11.9x23.6,0.72,Prime Supply Comercio,2026-01-24,2026-05-04,244.94,396.43
SKU-4117,7896977753239,Quebra-Cabeca 1000 pecas,Brinquedos,201,24,30,C2,Nivel 4 (Alto),C2-4,Disponivel,False,L2026483,32.1x19.4x41.6,2.29,Importadora Bravo,2026-05-22,2026-06-07,352.04,523.88
SKU-1080,7890162456509,Fone de Ouvido Bluetooth,Eletronicos,26,7,25,B3,Nivel 1 (Solo),B3-1,Disponivel,True,L2026122,22.5x47.5x29.2,1.84,Comercio Atlas S.A.,2026-06-25,2026-07-04,244.03,506.65
SKU-3229,7899520769916,Bone Aba Reta,Vestuario,73,69,20,A2,Nivel 4 (Alto),A2-4,Disponivel,False,L2026548,29.9x41.7x4.3,0.72,Global Trade Comercio Exterior,2026-03-09,2026-03-21,278.3,403.93
SKU-5516,7893732025358,Capa Protetora para Bancos,Automotivo,314,53,15,D2,Nivel 3,D2-3,Disponivel,False,L2026043,30.3x41.3x29.2,6.94,Comercio Atlas S.A.,2026-07-12,2026-07-23,336.63,740.44
SKU-2706,7892604690175,Marcador de Texto (kit 6un),Papelaria,313,42,20,F1,Nivel 1 (Solo),F1-1,Disponivel,True,L2026399,13.9x18.4x4.9,8.79,Metropolitana Atacado,2025-11-23,2025-12-30,346.27,760.63
SKU-3187,7891504117089,Meia Soquete (par),Vestuario,288,19,15,D1,Nivel 2,D1-2,Disponivel,False,L2026066,42.5x5.2x25.4,10.97,Comercio Atlas S.A.,2025-12-15,2026-05-08,45.91,92.51
SKU-6008,7899446644533,Organizador de Mesa,Utilidades para Escritorio,233,3,40,B3,Nivel 2,B3-2,Disponivel,False,L2026467,19.1x13.0x33.7,0.43,Importadora Bravo,2026-06-09,2026-07-21,258.68,358.91
SKU-5877,7892068086361,Dicionario Portugues-Ingles,Livros e Papelaria Tecnica,80,15,25,A2,Nivel 2,A2-2,Disponivel,True,L2026936,27.0x8.0x17.9,4.95,Prime Supply Comercio,2026-07-03,2026-07-14,40.94,71.1
SKU-1241,7893557702724,Mouse Gamer,Eletronicos,235,68,40,C2,Nivel 2,C2-2,Reservado,True,L2026592,39.3x34.2x24.2,9.61,Global Trade Comercio Exterior,2025-11-18,2026-01-19,30.67,56.59
SKU-2282,7893435497872,Balanca de Cozinha Digital,Casa e Cozinha,309,48,15,A2,Nivel 2,A2-2,Disponivel,True,L2026045,19.1x27.3x29.1,11.7,Prime Supply Comercio,2025-11-24,2026-04-16,362.28,782.1
SKU-5016,7899744302784,Racao para Caes Adultos 15kg,Pet Shop,49,9,30,F2,Nivel 3,F2-3,Disponivel,False,L2026203,9.8x6.0x12.5,10.87,Global Trade Comercio Exterior,2026-04-19,2026-06-03,55.42,102.1
SKU-5868,7890833692151,Dicionario Portugues-Ingles,Livros e Papelaria Tecnica,347,17,50,F1,Nivel 4 (Alto),F1-4,Disponivel,False,L2026291,14.2x5.5x12.5,3.25,Metropolitana Atacado,2025-12-21,2026-05-13,150.65,217.73
SKU-4322,7894030325355,Drone de Brinquedo,Brinquedos,168,75,20,B3,Nivel 2,B3-2,Disponivel,True,L2026424,64.0x37.3x15.0,0.27,Fornecedora Horizonte Ltda,2026-02-11,2026-04-05,90.18,187.65
SKU-5160,7890133034903,Areia Sanitaria para Gatos 4kg,Pet Shop,183,61,15,A2,Nivel 1 (Solo),A2-1,Disponivel,False,L2026944,53.9x14.1x37.3,0.77,Comercio Atlas S.A.,2026-01-12,2026-03-07,312.32,445.4
SKU-1880,7896337618512,Panela Antiaderente 24cm,Casa e Cozinha,277,51,40,C2,Nivel 1 (Solo),C2-1,Disponivel,True,L2026680,12.4x46.8x9.6,7.11,Importadora Bravo,2026-05-11,2026-06-03,266.82,604.85
SKU-5060,7894702816235,Racao para Caes Filhotes 10kg,Pet Shop,169,72,25,C1,Nivel 4 (Alto),C1-4,Disponivel,False,L2026446,22.4x33.8x41.5,7.2,Global Trade Comercio Exterior,2026-01-16,2026-02-19,276.89,499.64
SKU-5367,7890560572368,Oleo Lubrificante 1L,Automotivo,145,61,40,B1,Nivel 1 (Solo),B1-1,Disponivel,False,L2026448,30.9x8.5x14.0,2.26,Global Trade Comercio Exterior,2026-02-07,2026-06-26,272.48,492.24
SKU-3610,7890023358232,Condicionador 400ml,Higiene e Beleza,411,3,20,C2,Nivel 3,C2-3,Disponivel,False,L2026896,27.8x43.6x37.8,11.44,Nortex Distribuicao,2026-01-23,2026-07-07,357.02,764.33
SKU-3451,7890386473221,Tenis Casual Unissex,Vestuario,463,17,15,B2,Nivel 2,B2-2,Em Conferencia,False,L2026349,38.8x14.2x22.5,3.56,Ponto Central Suprimentos,2025-12-06,2026-04-09,99.18,226.7
SKU-3639,7890222446617,Condicionador 400ml,Higiene e Beleza,211,41,40,E1,Nivel 2,E1-2,Disponivel,True,L2026929,56.1x20.3x21.9,3.1,Metropolitana Atacado,2026-02-20,2026-04-09,193.44,443.59
SKU-2719,7899678194561,Marcador de Texto (kit 6un),Papelaria,172,73,50,C2,Nivel 2,C2-2,Disponivel,False,L2026211,45.1x38.3x12.0,12.72,Fornecedora Horizonte Ltda,2026-02-07,2026-04-21,48.79,108.95
SKU-5373,7896066027593,Oleo Lubrificante 1L,Automotivo,466,44,20,A3,Nivel 3,A3-3,Disponivel,False,L2026253,35.4x41.8x3.0,0.55,Metropolitana Atacado,2026-05-15,2026-06-27,308.36,656.98
SKU-5793,7891847461276,Revista em Quadrinhos (edicao especial),Livros e Papelaria Tecnica,3,1,20,A1,Nivel 2,A1-2,Baixo Estoque,False,L2026860,41.9x21.7x6.6,1.12,Union Cargo Distribuidora,2025-12-15,2026-04-12,453.75,955.18
SKU-4750,7893842883350,Nivel de Bolha,Ferramentas,370,9,40,C3,Nivel 2,C3-2,Disponivel,False,L2026847,47.5x45.0x8.6,2.49,Ponto Central Suprimentos,2026-03-14,2026-07-26,78.71,153.34
SKU-1590,7898158998866,Roteador Wi-Fi Dual Band,Eletronicos,279,25,50,A3,Nivel 4 (Alto),A3-4,Disponivel,False,L2026330,29.9x21.2x21.6,7.88,Prime Supply Comercio,2025-12-30,2026-06-08,143.45,279.01
SKU-4934,7890750433158,Martelo Unha 25mm,Ferramentas,290,73,40,F2,Nivel 4 (Alto),F2-4,Disponivel,False,L2026387,9.9x30.9x40.3,7.09,Nortex Distribuicao,2026-07-12,2026-07-20,197.32,434.1
SKU-2035,7895952984248,Air Fryer 6L,Casa e Cozinha,372,4,10,E2,Nivel 2,E2-2,Disponivel,True,L2026801,7.1x32.9x19.4,10.63,Metropolitana Atacado,2026-01-08,2026-07-15,66.96,121.95
SKU-4711,7891629988588,Nivel a Laser,Ferramentas,315,9,20,E2,Nivel 2,E2-2,Disponivel,True,L2026389,23.1x21.4x35.7,0.3,Importadora Bravo,2026-03-02,2026-05-13,285.53,626.1
SKU-2774,7892574777432,Calculadora Cientifica,Papelaria,327,20,25,B1,Nivel 3,B1-3,Disponivel,False,L2026562,54.1x38.8x38.7,10.6,Metropolitana Atacado,2026-03-04,2026-04-03,215.52,369.47
